"filename", "language", "Dockerfile", "Properties", "Shell Script", "Markdown", "YAML", "Ini", "C++", "C", "Python", "Protocol Buffers", "JSON", "Diff", "Go", "Makefile", "Lua", "comment", "blank", "total"
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_curve.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 29
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_curve_sdk.yml", "YAML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 33
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_etcd.yml", "YAML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 66
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_mds.yml", "YAML", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 77
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_nbd.yml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 30
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_nebd.yml", "YAML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 67
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_snapshotclone.yml", "YAML", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 74
"c:\FILES\CURVE\curve\curve-ansible\server.ini", "Ini", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 114
"c:\FILES\CURVE\curve\curve-chunkserver\home\nbs\chunkserver_ctl.sh", "Shell Script", 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 24, 343
"c:\FILES\CURVE\curve\curve-chunkserver\home\nbs\chunkserver_deploy.sh", "Shell Script", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 280
"c:\FILES\CURVE\curve\curve-chunkserver\home\nbs\disk_uuid_repair.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 37, 35, 226
"c:\FILES\CURVE\curve\curve-mds\home\nbs\etcd-daemon.sh", "Shell Script", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 28, 206
"c:\FILES\CURVE\curve\curve-mds\home\nbs\mds-daemon.sh", "Shell Script", 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 35, 288
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\etc\config.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 13, 54
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\argutils.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 4, 43, 234
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 6
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\api.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 6, 68, 320
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\base.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 302, 4, 62, 368
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\consistent_hash.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 2, 25, 100
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\dyconfig.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 2, 57, 291
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\heartbeat.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 1, 94, 480
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\round_robin.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 5, 19, 73
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\try.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 18, 49, 249
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\uuid.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 140, 41, 341
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\init.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 3, 22
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\init_worker.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 5, 25
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\modules\httpipe.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 725, 38, 202, 965
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\modules\httproxy.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 11, 88, 393
"c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\modules\reqlimit.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 2, 21, 84
